Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR27299562,2024-10-11 21:37:58,2023-12-20 13:33:16,1892000,170854104,1892000,90,66,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299562/SRR27299562.lite.1,SRX22977325,GSM7985778,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942952,SAMN38977683,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985778,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,22BCBDB6E129D9D56AFD480FF303D328,5A7F11734E9C32E92A58B04ECDD5F850
SRR27299563,2024-10-11 21:37:58,2023-12-20 13:33:36,1919223,173722613,1919223,90,69,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299563/SRR27299563.lite.1,SRX22977324,GSM7985777,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942953,SAMN38977684,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985777,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,D5D5AF62A6885A0803B6031E2743E27C,D4A8936B5A944C74A434E20A0F4C0787
SRR27299564,2024-10-11 21:37:58,2023-12-20 13:33:43,3156560,285787256,3156560,90,112,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299564/SRR27299564.lite.1,SRX22977323,GSM7985776,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942951,SAMN38977685,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985776,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,EE28CCE9BF65D77724E8D26B2553D807,844890B069BE1103F62797E2623A0E13
SRR27299565,2024-10-11 21:37:58,2023-12-20 13:33:16,1646463,148960638,1646463,90,57,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299565/SRR27299565.lite.1,SRX22977322,GSM7985775,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942950,SAMN38977686,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985775,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,30F2BCCB90DFE4D4AA0EF05DF07BF00F,81406396855C6EF26EF54552B9E8B27B
SRR27299566,2024-10-11 21:37:58,2023-12-20 13:33:47,1520935,137889294,1520935,90,55,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299566/SRR27299566.lite.1,SRX22977321,GSM7985774,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942949,SAMN38977687,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985774,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,28750437C55D9A50807494F28D1303AC,5700D0DDD5EB9CDD3CBB9C5DF5520C3E
SRR27299567,2024-10-11 21:37:58,2023-12-20 13:34:03,2609031,235614293,2609031,90,91,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299567/SRR27299567.lite.1,SRX22977320,GSM7985773,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942948,SAMN38977688,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985773,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,9536662148FF1E83780832B63B53CC76,54B1110372D7D5D8B016F21848CD47C1
SRR27299568,2024-10-11 21:37:58,2023-12-20 13:33:33,1328016,120283259,1328016,90,46,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299568/SRR27299568.lite.1,SRX22977319,GSM7985772,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942947,SAMN38977689,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985772,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,A0ABE90EBB68154980382D7D09FA9A41,5508E971FD62DDA3B76EAA80CF3E99E5
SRR27299569,2024-10-11 21:37:58,2023-12-20 13:34:09,2658248,241071830,2658248,90,92,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299569/SRR27299569.lite.1,SRX22977318,GSM7985771,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942946,SAMN38977690,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985771,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,CB87EF5063B21F38124B777E3A437A96,377BB9F2DB07694CD696B71CD31E0368
SRR27299578,2024-10-11 21:37:51,2023-12-20 13:34:33,2938755,266285910,2938755,90,100,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299578/SRR27299578.lite.1,SRX22977309,GSM7985636,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942937,SAMN38977825,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985636,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,CAE9AEBE0E4F7E12055B80FC744A2FBE,8D0BC916F3072780914E2F574F309D79
SRR27299579,2024-10-11 21:37:51,2023-12-20 13:34:34,4064251,368461653,4064251,90,138,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/SRR027/27299/SRR27299579/SRR27299579.lite.1,SRX22977308,GSM7985635,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP479194,PRJNA1055047,3,1055047,SRS19942936,SAMN38977826,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7985635,,,,,,,no,,,,,"HUNG LAB, MOLECULAR BIOLOGY, MASSACHUSETTS GENERAL HOSPITAL",SRA1772980,,public,A2A011E72101C636B7158E11F6190502,963F1871189A3BED3239BD95A525FEFD
